,Tournament,from,to,Organizer(s),Tournament director,Chief Arbiter,Deputy Chief Arbiter,Arbiter,Location,FED,Last update ,teams,n,Rd,Rd-Akt,DB-Key,System,Month
261,Турнір до для захисту дітей - Апопередня реєстрація,20210605,20210605,"Новояворівська міська рада, Спорт для всіх, НШК",Матвійчук А.В.,Матвійчук Б.А.,,,"м. Новояворівськ, Львівська обл.",UKR,05.06.2021  14:23 ,0,28,9,9,563693,Schweizer System                                            ,6
262,Чемпіонат м.Стрия з блискавичних шахів,20210605,20210605,"Шахова-шашкова федерація Стрийщини ""Ферзь""",Музичук Олег,Соловйов Олександр,Музичук Наталія,,Стрий,UKR,05.06.2021  14:08 ,0,35,11,11,564088,Schweizer System                                            ,6
263,Дитячий ШТ Сокаль (1-2роз),20210530,20210530,,,Лещишак І.С.,,,Сокаль,UKR,05.06.2021  02:09 ,0,17,9,9,563754,Schweizer System                                            ,5
264,Дитячий ШТ Сокаль (3-4роз),20210530,20210530,,Корчевський В.В.,Лещишак І.С.,Кутира М.А.,"Шаповал В.С., Лесик П.С., Салига А.В.",Сокаль,UKR,05.06.2021  02:08 ,0,74,9,9,563026,Schweizer System                                            ,5
265,Турнір з шахів серед юнаків та дівчат з нагоди Дня захисту дітей,20210601,20210603,,,Черняк Олена Євгеніївна,,,м. Ковель Волинська область,UKR,03.06.2021  15:25 ,0,31,9,9,563327,Schweizer System                                            ,6
266,Літній кваліфікаційний турнір з нормою 3-го розряду,20210603,20210603,,,Федів Олександр,Кейк Микола,"Тегзе Микола, Щербаков Сергій",Мукачево,UKR,03.06.2021  13:30 ,0,48,7,7,563725,Schweizer System                                            ,6
267,Дитячий ШТ Сокаль (1-2роз),20210530,20210530,,,Лещишак І.С.,,,Сокаль,UKR,03.06.2021  13:23 ,0,17,9,9,563752,Schweizer System                                            ,5
268,Бліц турнір з шахів з нагоди Дня зихисту дітейсеред школярів міста Ковеля,20210603,20210603,,,Черняк Олена Євгеніївна,,,Ковель,UKR,03.06.2021  11:52 ,0,14,9,9,563720,Schweizer System                                            ,6
269,Літній кваліфікаційний турнір з нормою 4-го розряду,20210602,20210602,МЦДЮТ,,Федів Олександр,Тегзе Микола,Вачиля Андрій,Мукачево,UKR,02.06.2021  12:39 ,0,23,7,7,563539,Schweizer System                                            ,6
270,"Кубок ПІШАК-2021 День Захисту Дітей Бліц Шахи ""Щасливе дитинство""",20210501,20210501,,"14106329 Kobylianskyi, Ihor (UKR) NA",,,,"Майданчик біля обласної бібліотеки для дітей, м. Івано-Франківськ",UKR,01.06.2021  14:01 ,0,25,9,9,563003,Schweizer System                                            ,5
271,Kvitucha Yavorivshchyna 2021,20210528,20210530,Novoyavorivsk Chess Club,"Matviychuk, Andrey 14107422","FA Grabinsky, Vladimir 14107074","Matviychuk, Bohdan 14198835",,"Novoyavorivsk, Lviv region",UKR,01.06.2021  11:53 ,0,119,9,9,563187,Schweizer System                                            ,5
272,Квітуча Яворівщина 2021,20210423,20210425,Novoyavorivsk Chess Club,"Matviychuk, Andrey 14107422","FA Grabinsky, Vladimir 14107074","Matviychuk, Bohdan 14198835",,"Novoyavorivsk, Lviv region",UKR,31.05.2021  14:05 ,0,119,9,9,563173,Schweizer System                                            ,4
273,Чемпіонат Києва з шахів серед юнаків та дівчат до 10 років.,20210527,20210531,Федерація шахів м. Києва,Іван Захарчук /14159775/ ,Олег Коваль /14140870/ ,Іван Захарчук /14159775/ ,"Тетяна Костак /14101041/, Діана Мац /14138611/, Анатолій Жестєрьов /14112680/",Київ,UKR,31.05.2021  12:56 ,0,55,9,9,561738,Schweizer System                                            ,5
274,Чемпіонат Києва з шахів серед юнаків та дівчат до 10 років.,20210527,20210531,Федерація шахів м. Києва,Іван Захарчук /14159775/,Олег Коваль /14140870/ ,Іван Захарчук /14159775/ ,"Тетяна Костак /14101041/, Діана Мац /14138611/, Анатолій Жестєрьов /14112680/ ",Київ,UKR,31.05.2021  12:11 ,0,25,9,9,561735,Schweizer System                                            ,5
275,Дитячий ШТ Сокаль (1-2роз),20210530,20210530,,Корчевський В.В.,Лещишак І.С.,Кутира М.А.,"Шаповал В.С., Лесик П.С., Салига А.В.",Сокаль,UKR,30.05.2021  23:21 ,0,17,9,9,563111,Schweizer System                                            ,5
276,Волинський  обласний Фестиваль з шахів   «ВОЛИНЬ-ПІВНІЧ» до 35-них роковин аварії на ЧАЕС,20210530,20210530,,,"14143950 Cherniak, Olena  (UKR) NA",,,м.Камінь-Каширський Волинська область,UKR,30.05.2021  21:39 ,0,53,7,7,562963,Schweizer System                                            ,5
277,"Кваліфікаційний турнір 2 розряду 28-30.05.2021""Шахова Школа"" DREAM TOWN-2",20210528,20210530,Шахова Школа,Семенов Д.Г.,Семенов Д.Г.,,"Ритенко В., Мамедов Р., Хріновський О.",Київ,UKR,30.05.2021  19:16 ,0,29,9,9,561248,Schweizer System                                            ,5
278,"Кваліфікаційний турнір 3 розряду 28-30.05.2021""Шахова Школа"" DREAM TOWN-2",20210528,20210530,Шахова Школа,Семенов Д.Г.,Семенов Д.Г.,,"Ритенко В., Мамедов Р., Хріновський О.",Київ,UKR,30.05.2021  19:16 ,0,45,9,9,561251,Schweizer System                                            ,5
279,Kvitucha Yavorivshchyna 2021,20210423,20210425,Novoyavorivsk Chess Club,"Matviychuk, Andrey 14107422","FA Grabinsky, Vladimir 14107074","Matviychuk, Bohdan 14198835",,"Novoyavorivsk, Lviv region",UKR,30.05.2021  19:06 ,0,119,9,9,560356,Schweizer System                                            ,4
280,Шаховий турнір присвячений Дню захисту дітей           м.Стрий,20210530,20210530,"Стрийська районна шахова-шашкова федерація ""Ферзь""",Музичук Олег,Соловйов Олександр,Музичук Наталія,Білецька Галина,Стрий,UKR,30.05.2021  18:03 ,0,42,9,9,563016,Schweizer System                                            ,5
281,Турнір до дня захисту дітей (29-30 травня м.Буча),20210529,20210529,"Центр творчого навчання ""Kiwi"", 0631255032 (Viber)",,,,Козловець П. П.,Буча,UKR,30.05.2021  17:40 ,0,18,9,9,562862,Schweizer System                                            ,5
282,Чемпіонат Донецької області з шахів до 18 років,20210525,20210529,,,Мартинков О.В.,,,Краматорськ,UKR,30.05.2021  17:39 ,0,22,9,9,562260,Schweizer System                                            ,5
283,Першість шахової школи В.Іванчука з нормою 3 розряду 30.05.2021,20210530,20210530,"ЛОШФ, Шахова школа В.Іванчука","Криницька, Оксана (UKR)","IA, FT, Хрипач, Артем (UKR), /14138239/",,"Улан, Олександр (UKR)",Львів,UKR,30.05.2021  16:05 ,0,19,9,9,561557,Schweizer System                                            ,5
284,Kubok Prykarpatya-2021 ,20210530,20210530,"ГО ""Івано-Франківський обласний шаховий центр""",Nataliia Palahitska,"14182610 Palahitska, Nataliia ",,,Ivano-Frankivsk,UKR,30.05.2021  15:23 ,0,27,9,9,561256,Schweizer System                                            ,5
285,Чемпіонат Київської області з класичнихшахів серед дорослих,20210527,20210530,Київська обласна федерація шахів,Лук'яненко Володимир,"Пепа Ю.В. /14136422/, міжнародний арбітр",,,"м. Березань, Київська обл.",UKR,30.05.2021  14:58 ,0,21,9,9,562513,Schweizer System                                            ,5
286,"""Кубок Дніпровської Рив'єри 2021.28-30.05.Кременчук",20210528,20210530,"Федерацією шахів Кременчука, житловим комплексом ""Дніпровська Рив'єра""",Романченко В.П.,Зазуляк Андрій Андрійович,Щегельський Гліб Євгенійович,,Кременчук,UKR,30.05.2021  14:48 ,0,31,9,9,560584,Schweizer System                                            ,5
287,Першість шахової школи В.Іванчука з нормою 2 розряду 29-30.05.2021,20210529,20210530,"ЛОШФ, Шахова школа В.Іванчука","Криницька, Оксана (UKR)","IA, FT, Хрипач, Артем (UKR), /14138239/",,"Улан, Олександр (UKR)",Львів,UKR,30.05.2021  14:33 ,0,14,9,9,561558,Schweizer System                                            ,5
288,"""Шахова Школа"" Dream TownКваліфікаційний турнір 4 розряду та безрозрядників 29-30.05.2021",20210529,20210529,Шахова Школа,Семенов Д.Г.,Семенов Д.Г.,,"Хріновський О., Мамедов Р., Ритенко В.",Київ,UKR,30.05.2021  12:23 ,0,91,9,9,561522,Schweizer System                                            ,5
289,Весняний кубок А+ садок,20210529,20210530,"КАН, А+",Коваленко Максим,Коваленко Максим,,"Хоменко Павло, Евич Максим",Киев,UKR,30.05.2021  11:49 ,0,18,8,8,562815,Schweizer System                                            ,5
290,ЛОШФ КТ з нормою 3-го розряду - 29.05 Львів ,20210530,20210530,"ЛОШФ, ЛША",14104490 Фірман Назар,34125035 Красногор Юрій,,,Львів,UKR,29.05.2021  19:29 ,0,42,9,9,562408,Schweizer System                                            ,5
